Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age_adv,Pos_adv,G_adv,GS_adv,MP_adv,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,W,L,total_games,win_pct,games_pct,Season,PTS_pct,BPM_pct,VORP_pct,WS_pct,win_pct_pct,TS%_pct,PER_pct,MVP_Score,is_mvp
LaMelo Ball,24.0,CHO,PG,72.0,69.0,28.0,7.0,17.3,0.407,3.8,10.3,0.368,3.3,7.0,0.464,0.516,2.2,2.5,0.899,0.9,3.9,4.8,7.1,1.2,0.2,2.8,2.7,20.1,24.0,PG,72.0,69.0,2017.0,19.7,0.546,0.595,0.144,3.7,15.5,9.7,42.6,2.1,0.8,13.2,32.0,3.6,2.6,6.2,0.147,4.8,-0.1,4.7,3.4,44.0,38.0,82.0,0.5365853658536586,0.8780487804878049,2026,0.8240223463687151,0.9497206703910615,0.9022346368715084,0.7318435754189944,0.46368715083798884,0.18156424581005587,0.8435754189944135,,
Desmond Bane,27.0,ORL,SG,82.0,82.0,33.6,7.1,14.7,0.484,2.0,5.2,0.391,5.1,9.5,0.535,0.553,3.8,4.2,0.908,1.2,2.9,4.1,4.1,1.0,0.5,2.0,3.1,20.1,27.0,SG,82.0,82.0,2756.0,16.9,0.607,0.354,0.287,3.9,9.8,6.8,19.3,1.5,1.2,10.8,23.3,4.8,2.6,7.4,0.129,1.6,-0.2,1.4,2.3,45.0,37.0,82.0,0.5487804878048781,1.0,2026,0.8240223463687151,0.6620111731843575,0.776536312849162,0.8603351955307262,0.5307262569832403,0.6927374301675978,0.664804469273743,,
Karl-Anthony Towns,30.0,NYK,C,75.0,75.0,31.0,6.9,13.8,0.501,1.5,4.1,0.368,5.4,9.7,0.557,0.556,4.8,5.5,0.858,3.1,8.7,11.9,3.0,0.9,0.5,2.5,3.4,20.1,30.0,C,75.0,75.0,2322.0,22.0,0.619,0.297,0.403,11.2,31.7,21.4,14.7,1.4,1.8,13.3,25.9,5.5,4.0,9.5,0.197,2.7,0.6,3.3,3.1,53.0,29.0,82.0,0.6463414634146342,0.9146341463414634,2026,0.8240223463687151,0.8854748603351955,0.8715083798882681,0.9608938547486033,0.776536312849162,0.8044692737430168,0.946927374301676,,
Jalen Duren,22.0,DET,C,70.0,70.0,28.2,7.5,11.5,0.65,0.0,0.0,,7.5,11.5,0.65,0.65,4.6,6.1,0.747,3.8,6.7,10.5,2.0,0.8,0.8,1.9,2.8,19.5,22.0,C,70.0,70.0,1976.0,26.1,0.688,0.0,0.535,15.3,26.4,20.9,11.0,1.4,3.0,11.6,23.6,7.2,3.8,11.0,0.266,4.4,0.5,5.0,3.5,60.0,22.0,82.0,0.7317073170731707,0.8536585365853658,2026,0.8100558659217877,0.9553072625698324,0.9189944134078212,0.9888268156424581,0.8938547486033519,0.9888268156424581,0.9720670391061452,,
RJ Barrett,25.0,TOR,SF,57.0,57.0,30.3,7.0,14.3,0.491,1.7,5.0,0.339,5.4,9.4,0.572,0.55,3.5,4.9,0.717,1.0,4.3,5.3,3.3,0.7,0.3,1.7,2.6,19.3,25.0,SF,57.0,57.0,1726.0,17.0,0.585,0.347,0.342,3.6,16.3,9.9,16.8,1.2,1.1,9.5,25.8,2.0,2.0,4.0,0.111,1.0,-0.7,0.2,1.0,46.0,36.0,82.0,0.5609756097560976,0.6951219512195121,2026,0.8044692737430168,0.4972067039106145,0.49162011173184356,0.4581005586592179,0.6145251396648045,0.5223463687150838,0.6703910614525139,,
De'Aaron Fox,28.0,SAS,PG,72.0,72.0,31.0,7.1,14.5,0.486,1.8,5.5,0.332,5.3,9.1,0.58,0.549,2.6,3.4,0.76,0.6,3.2,3.8,6.2,1.2,0.3,2.3,2.3,18.6,28.0,PG,72.0,72.0,2231.0,17.6,0.578,0.377,0.235,2.1,10.7,6.5,29.6,1.9,0.8,12.4,24.9,3.4,3.0,6.4,0.138,1.5,0.6,2.2,2.4,62.0,20.0,82.0,0.7560975609756098,0.8780487804878049,2026,0.7960893854748603,0.7541899441340782,0.8016759776536313,0.7793296089385475,0.9385474860335196,0.4329608938547486,0.7430167597765364,,
Jerami Grant,31.0,POR,PF,57.0,38.0,29.7,5.8,12.8,0.453,2.4,6.1,0.389,3.4,6.7,0.513,0.547,4.6,5.6,0.814,1.0,2.5,3.5,2.1,0.7,0.6,2.1,2.5,18.6,31.0,PF,57.0,38.0,1695.0,15.4,0.608,0.479,0.441,3.5,9.3,6.3,11.0,1.2,1.9,12.0,23.8,2.6,1.4,4.0,0.114,0.9,-0.9,0.0,0.9,42.0,40.0,82.0,0.5121951219512195,0.6951219512195121,2026,0.7960893854748603,0.4581005586592179,0.46368715083798884,0.4581005586592179,0.3770949720670391,0.7039106145251397,0.4972067039106145,,
Kon Knueppel,20.0,CHO,SF,81.0,80.0,31.5,6.4,13.4,0.475,3.4,7.9,0.425,3.0,5.5,0.548,0.601,2.4,2.8,0.863,1.2,4.1,5.3,3.4,0.7,0.2,2.0,2.1,18.5,20.0,SF,81.0,80.0,2551.0,17.1,0.633,0.592,0.208,4.4,14.6,9.6,16.6,1.1,0.7,12.0,22.3,5.6,2.5,8.0,0.151,3.1,-0.4,2.8,3.1,44.0,38.0,82.0,0.5365853658536586,0.9878048780487805,2026,0.7877094972067039,0.8324022346368715,0.8715083798882681,0.8938547486033519,0.46368715083798884,0.88268156424581,0.6843575418994413,,
DeMar DeRozan,36.0,SAC,PF,77.0,77.0,31.2,6.5,13.1,0.497,0.6,1.9,0.32,5.9,11.1,0.527,0.52,4.9,5.6,0.868,0.5,2.5,2.9,4.1,1.0,0.3,1.2,1.9,18.4,36.0,PF,77.0,77.0,2406.0,17.8,0.594,0.146,0.429,1.6,9.1,5.3,20.0,1.6,0.9,7.4,22.8,5.2,0.4,5.6,0.112,0.9,-1.0,-0.1,1.1,22.0,60.0,82.0,0.2682926829268293,0.9390243902439024,2026,0.7821229050279329,0.441340782122905,0.5139664804469274,0.6536312849162011,0.13128491620111732,0.6229050279329609,0.7541899441340782,,
Amen Thompson,23.0,HOU,PG,79.0,79.0,37.4,7.1,13.2,0.534,0.3,1.5,0.216,6.7,11.7,0.573,0.545,3.8,4.9,0.779,3.0,4.8,7.8,5.3,1.5,0.6,2.4,2.2,18.3,23.0,PG,79.0,79.0,2953.0,18.9,0.594,0.111,0.374,8.9,14.0,11.5,20.4,2.0,1.5,13.5,20.0,6.5,3.8,10.3,0.167,1.6,1.0,2.6,3.4,52.0,30.0,82.0,0.6341463414634146,0.9634146341463414,2026,0.776536312849162,0.8016759776536313,0.9022346368715084,0.9776536312849162,0.7150837988826816,0.6229050279329609,0.8324022346368715,,
Evan Mobley,24.0,CLE,PF,65.0,63.0,31.9,7.2,13.2,0.546,1.0,3.2,0.297,6.3,10.0,0.626,0.582,2.8,4.6,0.606,2.4,6.6,9.0,3.6,0.7,1.7,1.9,2.4,18.2,24.0,PF,65.0,63.0,2074.0,20.0,0.596,0.243,0.346,8.3,22.7,15.5,16.8,1.1,5.2,11.0,22.6,3.6,2.9,6.5,0.15,1.8,1.2,3.0,2.6,52.0,30.0,82.0,0.6341463414634146,0.7926829268292683,2026,0.770949720670391,0.8547486033519553,0.840782122905028,0.8044692737430168,0.7150837988826816,0.6424581005586593,0.8519553072625698,,
Scottie Barnes,24.0,TOR,PF,80.0,80.0,33.5,7.1,14.0,0.507,0.9,2.8,0.304,6.3,11.2,0.557,0.537,3.0,3.7,0.815,1.9,5.6,7.5,5.9,1.4,1.5,2.6,2.6,18.1,24.0,PF,80.0,80.0,2681.0,19.2,0.577,0.199,0.264,6.3,19.3,12.7,26.3,2.1,4.2,14.3,23.4,3.3,4.5,7.8,0.14,1.9,2.3,4.2,4.2,46.0,36.0,82.0,0.5609756097560976,0.975609756097561,2026,0.7653631284916201,0.9189944134078212,0.952513966480447,0.8770949720670391,0.6145251396648045,0.42178770949720673,0.8379888268156425,,
Saddiq Bey,26.0,NOP,SF,72.0,64.0,31.2,6.1,13.4,0.451,2.1,5.7,0.367,4.0,7.7,0.514,0.529,3.4,4.1,0.841,1.7,3.9,5.6,2.5,0.9,0.1,0.9,1.3,17.7,26.0,SF,72.0,64.0,2246.0,17.1,0.579,0.426,0.305,5.7,13.5,9.6,11.9,1.4,0.3,5.8,21.6,4.5,1.0,5.4,0.116,2.3,-1.8,0.5,1.4,26.0,56.0,82.0,0.3170731707317073,0.8780487804878049,2026,0.7597765363128491,0.5307262569832403,0.5754189944134078,0.6396648044692738,0.22346368715083798,0.4441340782122905,0.6843575418994413,,
Ryan Rollins,23.0,MIL,PG,74.0,67.0,32.1,6.6,13.9,0.472,2.5,6.1,0.406,4.1,7.8,0.523,0.561,1.7,2.1,0.796,0.7,3.8,4.6,5.6,1.5,0.4,2.7,2.6,17.3,23.0,PG,74.0,67.0,2376.0,16.2,0.583,0.44,0.152,2.6,13.4,8.0,27.1,2.3,1.3,15.5,24.2,1.7,1.8,3.4,0.069,0.7,-0.5,0.2,1.3,32.0,50.0,82.0,0.3902439024390244,0.9024390243902439,2026,0.7541899441340782,0.4972067039106145,0.5391061452513967,0.3854748603351955,0.30446927374301674,0.4888268156424581,0.6061452513966481,,
Miles Bridges,27.0,CHO,PF,77.0,77.0,31.0,6.2,13.5,0.46,1.9,5.8,0.333,4.3,7.8,0.554,0.531,2.7,3.3,0.822,1.0,4.9,5.8,3.2,0.6,0.4,1.4,1.7,17.1,27.0,PF,77.0,77.0,2387.0,16.0,0.57,0.427,0.243,3.6,17.4,10.6,15.9,1.0,1.3,8.5,22.3,4.0,2.5,6.5,0.13,1.2,-0.1,1.1,1.9,44.0,38.0,82.0,0.5365853658536586,0.9390243902439024,2026,0.7458100558659218,0.6145251396648045,0.7122905027932961,0.8044692737430168,0.46368715083798884,0.3407821229050279,0.5837988826815642,,
Chet Holmgren,23.0,OKC,PF,69.0,69.0,28.9,6.3,11.3,0.557,1.3,3.5,0.362,5.0,7.8,0.646,0.614,3.3,4.1,0.792,1.9,7.0,8.9,1.7,0.6,1.9,1.6,2.3,17.1,23.0,PF,69.0,69.0,1997.0,21.6,0.653,0.312,0.365,7.4,25.3,16.7,8.6,1.0,6.4,10.6,21.9,4.4,4.7,9.1,0.219,2.4,1.9,4.2,3.1,64.0,18.0,82.0,0.7804878048780488,0.8414634146341463,2026,0.7458100558659218,0.9189944134078212,0.8715083798882681,0.9441340782122905,0.9832402234636871,0.9301675977653632,0.9134078212290503,,
Josh Giddey,23.0,CHI,PG,54.0,51.0,32.1,5.9,13.3,0.448,1.9,5.2,0.364,4.0,8.0,0.502,0.52,3.2,4.2,0.763,1.2,7.1,8.3,9.1,1.0,0.5,3.6,1.7,17.0,23.0,PG,54.0,51.0,1731.0,18.0,0.562,0.395,0.318,4.2,23.1,13.7,41.1,1.5,1.4,19.3,24.4,1.6,1.7,3.2,0.09,2.3,0.4,2.7,2.0,31.0,51.0,82.0,0.3780487804878049,0.6585365853658537,2026,0.7346368715083799,0.8156424581005587,0.729050279329609,0.36312849162011174,0.2737430167597765,0.2681564245810056,0.776536312849162,,
Payton Pritchard,28.0,BOS,PG,79.0,50.0,32.4,6.4,13.8,0.464,2.7,7.1,0.377,3.7,6.7,0.556,0.561,1.5,1.7,0.89,0.9,3.1,3.9,5.2,0.7,0.1,1.4,1.5,17.0,28.0,PG,79.0,50.0,2556.0,17.1,0.584,0.515,0.125,3.0,10.2,6.7,23.5,1.1,0.4,8.7,21.4,6.1,2.4,8.5,0.16,2.6,-0.3,2.3,2.8,56.0,26.0,82.0,0.6829268292682927,0.9634146341463414,2026,0.7346368715083799,0.7653631284916201,0.8575418994413407,0.9106145251396648,0.8603351955307262,0.5,0.6843575418994413,,
Andrew Nembhard,26.0,IND,PG,57.0,57.0,31.3,5.8,13.2,0.442,1.9,5.2,0.361,4.0,8.0,0.495,0.513,3.4,4.1,0.825,0.4,2.4,2.8,7.7,0.9,0.1,2.4,2.2,16.9,26.0,PG,57.0,57.0,1786.0,15.7,0.564,0.393,0.311,1.5,8.4,4.9,37.0,1.4,0.4,13.8,23.6,2.2,0.7,2.8,0.077,1.1,-1.9,-0.8,0.6,19.0,63.0,82.0,0.23170731707317074,0.6951219512195121,2026,0.7262569832402235,0.33519553072625696,0.3435754189944134,0.2877094972067039,0.0446927374301676,0.2877094972067039,0.5391061452513967,,
OG Anunoby,28.0,NYK,PF,67.0,67.0,33.2,5.8,12.0,0.484,2.3,6.1,0.386,3.5,5.9,0.584,0.581,2.7,3.3,0.828,1.3,4.0,5.2,2.2,1.6,0.7,1.8,2.4,16.7,28.0,PF,67.0,67.0,2224.0,15.8,0.62,0.506,0.275,4.3,13.4,8.8,9.2,2.3,2.2,12.0,19.7,3.1,3.2,6.3,0.135,0.9,1.1,2.0,2.3,53.0,29.0,82.0,0.6463414634146342,0.8170731707317073,2026,0.7178770949720671,0.7318435754189944,0.776536312849162,0.7597765363128491,0.776536312849162,0.8184357541899442,0.553072625698324,,
Stephon Castle,21.0,SAS,PG,68.0,67.0,30.0,5.7,12.0,0.471,1.2,3.6,0.332,4.5,8.4,0.531,0.521,4.1,5.6,0.734,1.4,3.9,5.3,7.4,1.1,0.3,3.2,3.3,16.7,21.0,PG,68.0,67.0,2038.0,17.4,0.575,0.299,0.47,5.3,13.5,9.5,34.5,1.8,0.8,18.0,24.9,2.8,2.9,5.8,0.136,1.0,0.9,1.9,2.0,62.0,20.0,82.0,0.7560975609756098,0.8292682926829268,2026,0.7178770949720671,0.7178770949720671,0.729050279329609,0.6759776536312849,0.9385474860335196,0.40502793296089384,0.7206703910614525,,
Derrick White,31.0,BOS,SG,77.0,77.0,34.1,5.7,14.4,0.394,2.7,8.3,0.327,3.0,6.1,0.487,0.489,2.4,2.6,0.902,1.1,3.3,4.4,5.4,1.1,1.3,1.7,1.5,16.5,31.0,SG,77.0,77.0,2625.0,16.0,0.529,0.578,0.184,3.7,10.4,7.1,22.2,1.7,3.8,10.1,22.0,3.5,3.5,7.0,0.129,2.2,1.0,3.2,3.5,56.0,26.0,82.0,0.6829268292682927,0.9390243902439024,2026,0.7094972067039106,0.8770949720670391,0.9189944134078212,0.8463687150837989,0.8603351955307262,0.08379888268156424,0.5837988826815642,,
Immanuel Quickley,26.0,TOR,PG,70.0,70.0,31.9,5.7,12.9,0.443,2.5,6.8,0.374,3.2,6.1,0.52,0.541,2.4,3.0,0.821,0.5,3.5,4.0,5.9,1.3,0.1,1.5,2.0,16.4,26.0,PG,70.0,70.0,2231.0,16.6,0.577,0.526,0.229,1.9,12.5,7.2,26.4,2.0,0.2,9.3,21.1,3.9,2.6,6.5,0.14,1.9,0.6,2.4,2.5,46.0,36.0,82.0,0.5609756097560976,0.8536585365853658,2026,0.7039106145251397,0.7737430167597765,0.8212290502793296,0.8044692737430168,0.6145251396648045,0.42178770949720673,0.6424581005586593,,
Matas Buzelis,21.0,CHI,PF,77.0,77.0,29.2,5.8,12.5,0.463,2.2,6.4,0.349,3.5,6.1,0.583,0.553,2.4,3.1,0.786,1.0,4.8,5.8,2.1,0.7,1.5,2.1,2.3,16.3,21.0,PF,77.0,77.0,2248.0,14.8,0.586,0.514,0.247,3.7,17.3,10.6,10.3,1.1,4.5,13.0,22.8,0.4,2.1,2.6,0.055,-0.6,-0.4,-1.0,0.5,31.0,51.0,82.0,0.3780487804878049,0.9390243902439024,2026,0.6983240223463687,0.29329608938547486,0.30726256983240224,0.24022346368715083,0.2737430167597765,0.547486033519553,0.4301675977653631,,
VJ Edgecombe,20.0,PHI,SG,75.0,75.0,35.0,6.0,13.7,0.438,2.0,5.6,0.354,4.0,8.1,0.496,0.51,2.0,2.4,0.818,1.6,4.0,5.6,4.2,1.4,0.5,1.8,2.9,16.0,20.0,SG,75.0,75.0,2623.0,14.0,0.54,0.409,0.176,5.0,12.7,8.8,17.4,2.0,1.4,11.0,20.1,1.9,2.5,4.4,0.081,-0.4,-0.1,-0.5,1.0,45.0,37.0,82.0,0.5487804878048781,0.9146341463414634,2026,0.6927374301675978,0.3994413407821229,0.49162011173184356,0.5223463687150838,0.5307262569832403,0.13966480446927373,0.3659217877094972,,
Jabari Smith Jr.,22.0,HOU,PF,77.0,77.0,35.1,5.7,12.6,0.45,2.3,6.3,0.363,3.4,6.3,0.537,0.541,2.1,2.7,0.775,1.4,5.5,6.9,1.9,0.7,0.9,1.4,2.5,15.8,22.0,PF,77.0,77.0,2705.0,13.5,0.57,0.501,0.215,4.5,17.0,10.8,7.3,1.0,2.4,9.0,18.2,3.4,3.3,6.6,0.118,-0.5,-0.2,-0.7,0.9,52.0,30.0,82.0,0.6341463414634146,0.9390243902439024,2026,0.6871508379888268,0.35195530726256985,0.46368715083798884,0.8240223463687151,0.7150837988826816,0.3407821229050279,0.3324022346368715,,
Jarrett Allen,27.0,CLE,C,56.0,56.0,27.1,6.0,9.4,0.638,0.0,0.2,0.1,6.0,9.3,0.649,0.639,3.3,4.7,0.709,2.6,5.9,8.5,1.8,1.0,0.8,1.3,1.7,15.4,27.0,C,56.0,56.0,1519.0,22.1,0.669,0.019,0.494,10.5,24.0,17.2,9.7,1.7,2.9,10.4,19.9,4.2,2.2,6.4,0.202,2.2,0.4,2.6,1.8,52.0,30.0,82.0,0.6341463414634146,0.6829268292682927,2026,0.6759776536312849,0.8016759776536313,0.6871508379888268,0.7793296089385475,0.7150837988826816,0.9553072625698324,0.9553072625698324,,
Jaime Jaquez Jr.,24.0,MIA,SF,75.0,1.0,28.3,6.2,12.2,0.507,0.8,2.4,0.317,5.4,9.8,0.555,0.539,2.2,2.9,0.769,1.3,3.7,5.0,4.7,0.7,0.3,2.0,1.8,15.4,24.0,SF,75.0,1.0,2121.0,15.7,0.57,0.2,0.236,4.7,13.7,9.2,24.0,1.1,0.9,13.1,22.3,2.2,2.0,4.2,0.094,0.3,-0.1,0.1,1.1,43.0,39.0,82.0,0.524390243902439,0.9146341463414634,2026,0.6759776536312849,0.4748603351955307,0.5139664804469274,0.5,0.4245810055865922,0.3407821229050279,0.5391061452513967,,
Andrew Wiggins,30.0,MIA,SF,68.0,68.0,30.3,5.7,12.1,0.475,2.0,4.9,0.414,3.7,7.2,0.516,0.559,1.9,2.4,0.784,1.7,3.1,4.8,2.7,1.1,1.0,1.5,2.3,15.4,30.0,SF,68.0,68.0,2063.0,15.1,0.586,0.406,0.197,5.7,10.8,8.3,12.3,1.7,3.0,10.3,19.7,2.2,2.3,4.6,0.106,0.7,0.5,1.2,1.7,43.0,39.0,82.0,0.524390243902439,0.8292682926829268,2026,0.6759776536312849,0.6256983240223464,0.6536312849162011,0.5446927374301676,0.4245810055865922,0.547486033519553,0.4553072625698324,,
Naji Marshall,28.0,DAL,SF,74.0,47.0,29.5,5.7,11.1,0.51,0.8,2.9,0.291,4.8,8.2,0.587,0.548,3.1,4.1,0.76,0.9,3.8,4.7,3.3,1.1,0.1,1.6,1.9,15.2,28.0,SF,74.0,47.0,2184.0,15.4,0.592,0.259,0.365,3.2,13.6,8.4,16.4,1.8,0.2,11.1,20.5,2.5,1.8,4.3,0.095,-0.7,0.1,-0.6,0.8,26.0,56.0,82.0,0.3170731707317073,0.9024390243902439,2026,0.659217877094972,0.3770949720670391,0.43575418994413406,0.5111731843575419,0.22346368715083798,0.6033519553072626,0.4972067039106145,,
Onyeka Okongwu,25.0,ATL,C,74.0,63.0,31.0,5.6,11.6,0.48,1.9,5.2,0.376,3.6,6.4,0.564,0.564,2.1,2.7,0.757,1.9,5.7,7.6,3.1,1.1,1.1,1.7,3.3,15.2,25.0,C,74.0,63.0,2297.0,15.9,0.592,0.445,0.235,6.5,20.3,13.3,13.9,1.7,3.1,11.8,19.5,2.6,3.3,6.0,0.125,-0.1,0.8,0.7,1.6,46.0,36.0,82.0,0.5609756097560976,0.9024390243902439,2026,0.659217877094972,0.5558659217877095,0.6368715083798883,0.6899441340782123,0.6145251396648045,0.6033519553072626,0.5642458100558659,,
Russell Westbrook,37.0,SAC,SF,64.0,58.0,29.0,5.6,13.1,0.427,2.0,5.9,0.338,3.6,7.2,0.5,0.503,2.0,2.9,0.694,1.3,4.2,5.4,6.7,1.3,0.2,3.3,2.3,15.2,37.0,SF,64.0,58.0,1853.0,15.1,0.528,0.452,0.218,4.7,16.6,10.5,34.3,2.2,0.6,18.5,25.9,-0.6,0.9,0.4,0.009,0.6,-1.0,-0.4,0.7,22.0,60.0,82.0,0.2682926829268293,0.7804878048780488,2026,0.659217877094972,0.4106145251396648,0.39385474860335196,0.05865921787709497,0.13128491620111732,0.0782122905027933,0.4553072625698324,,
Anthony Black,22.0,ORL,PG,64.0,40.0,29.8,5.4,12.1,0.447,1.6,4.7,0.333,3.8,7.4,0.519,0.512,2.6,3.6,0.732,0.7,3.1,3.8,3.7,1.4,0.7,2.1,2.7,15.0,22.0,PG,64.0,40.0,1910.0,13.7,0.549,0.389,0.299,2.7,11.6,7.1,18.5,2.3,2.1,13.1,22.2,0.3,2.4,2.6,0.067,-1.2,0.7,-0.6,0.7,45.0,37.0,82.0,0.5487804878048781,0.7804878048780488,2026,0.6480446927374302,0.3770949720670391,0.39385474860335196,0.24022346368715083,0.5307262569832403,0.2011173184357542,0.3463687150837989,,
Brice Sensabaugh,22.0,UTA,SF,75.0,22.0,23.5,5.3,11.4,0.46,2.2,5.9,0.367,3.1,5.5,0.559,0.554,2.2,2.7,0.826,0.7,2.3,3.1,1.9,0.7,0.2,1.7,1.9,14.9,22.0,SF,75.0,22.0,1762.0,14.4,0.59,0.516,0.235,3.4,11.0,7.1,12.4,1.4,0.7,11.6,24.9,1.0,0.1,1.1,0.029,0.4,-3.0,-2.6,-0.3,22.0,60.0,82.0,0.2682926829268293,0.9146341463414634,2026,0.6424581005586593,0.10614525139664804,0.10614525139664804,0.10893854748603352,0.13128491620111732,0.5837988826815642,0.4134078212290503,,
Jaden McDaniels,25.0,MIN,PF,73.0,73.0,31.7,5.7,11.1,0.515,1.4,3.4,0.412,4.3,7.7,0.562,0.579,2.0,2.4,0.835,1.0,3.2,4.2,2.7,1.1,1.0,1.8,3.3,14.8,25.0,PF,73.0,73.0,2316.0,14.0,0.611,0.309,0.218,3.7,10.9,7.4,12.2,1.7,2.7,12.9,18.5,2.5,2.7,5.2,0.109,-0.9,0.6,-0.3,1.0,49.0,33.0,82.0,0.5975609756097561,0.8902439024390244,2026,0.6368715083798883,0.42178770949720673,0.49162011173184356,0.6145251396648045,0.6675977653631285,0.7486033519553073,0.3659217877094972,,
Peyton Watson,23.0,DEN,SF,54.0,40.0,29.6,5.3,10.8,0.491,1.5,3.6,0.411,3.8,7.1,0.531,0.56,2.6,3.5,0.73,0.9,4.0,4.9,2.1,0.9,1.1,1.7,2.5,14.6,23.0,SF,54.0,40.0,1598.0,14.3,0.594,0.339,0.325,3.6,14.4,9.3,9.7,1.5,3.6,12.3,20.6,1.0,1.6,2.6,0.078,-0.8,-0.5,-1.2,0.3,54.0,28.0,82.0,0.6585365853658537,0.6585365853658537,2026,0.6312849162011173,0.26536312849162014,0.2569832402234637,0.24022346368715083,0.8268156424581006,0.6229050279329609,0.40782122905027934,,
Mikal Bridges,29.0,NYK,SF,82.0,82.0,32.8,5.8,11.7,0.49,1.9,5.1,0.371,3.9,6.6,0.582,0.571,1.0,1.2,0.827,1.0,2.8,3.8,3.7,1.3,0.8,1.0,2.0,14.4,29.0,SF,82.0,82.0,2692.0,15.3,0.587,0.436,0.102,3.3,9.7,6.5,15.9,2.0,2.4,7.6,17.3,4.7,3.3,8.0,0.143,1.3,1.4,2.7,3.2,53.0,29.0,82.0,0.6463414634146342,1.0,2026,0.6256983240223464,0.8156424581005587,0.88268156424581,0.8938547486033519,0.776536312849162,0.5614525139664804,0.48044692737430167,,
Jeremiah Fears,19.0,NOP,PG,82.0,49.0,25.8,5.3,12.3,0.434,1.2,3.7,0.33,4.1,8.5,0.48,0.485,2.4,3.0,0.789,0.7,2.9,3.7,3.4,1.2,0.4,2.2,1.8,14.3,19.0,PG,82.0,49.0,2112.0,13.8,0.525,0.304,0.245,3.0,12.4,7.7,19.9,2.2,1.3,13.8,25.5,-0.8,1.4,0.6,0.015,-1.4,-1.3,-2.7,-0.4,26.0,56.0,82.0,0.3170731707317073,1.0,2026,0.6201117318435754,0.1005586592178771,0.09776536312849161,0.0782122905027933,0.22346368715083798,0.0670391061452514,0.3547486033519553,,
P.J. Washington,27.0,DAL,PF,56.0,53.0,31.0,5.3,11.8,0.45,1.4,4.2,0.325,3.9,7.6,0.519,0.508,2.2,3.3,0.687,1.5,5.5,7.0,1.8,1.0,1.1,1.7,2.1,14.2,27.0,PF,56.0,53.0,1736.0,13.1,0.537,0.356,0.277,5.2,18.7,12.0,8.1,1.5,2.9,11.3,20.1,-0.3,2.0,1.7,0.046,-1.7,0.1,-1.6,0.2,26.0,56.0,82.0,0.3170731707317073,0.6829268292682927,2026,0.6145251396648045,0.21508379888268156,0.22625698324022347,0.1452513966480447,0.22346368715083798,0.11731843575418995,0.3016759776536313,,
Tre Jones,26.0,CHI,PG,65.0,41.0,27.0,5.2,9.5,0.553,0.6,2.0,0.315,4.6,7.5,0.616,0.586,2.9,3.5,0.841,0.6,2.6,3.1,5.4,1.2,0.2,1.4,1.4,14.1,26.0,PG,65.0,41.0,1752.0,18.7,0.637,0.211,0.368,2.3,9.9,6.2,29.2,2.0,0.5,11.4,19.2,4.6,1.1,5.7,0.157,1.2,0.1,1.3,1.5,31.0,51.0,82.0,0.3780487804878049,0.7926829268292683,2026,0.6089385474860335,0.6396648044692738,0.6145251396648045,0.664804469273743,0.2737430167597765,0.8966480446927374,0.8184357541899442,,
Devin Vassell,25.0,SAS,SG,67.0,65.0,30.5,4.9,11.3,0.437,2.5,6.4,0.384,2.4,4.8,0.508,0.547,1.6,1.9,0.815,0.6,3.4,4.0,2.5,0.9,0.4,0.9,1.6,13.9,25.0,SG,67.0,65.0,2044.0,13.0,0.574,0.572,0.172,2.1,11.8,7.1,11.0,1.3,1.1,6.9,18.0,2.3,2.6,4.9,0.115,0.1,0.3,0.5,1.3,62.0,20.0,82.0,0.7560975609756098,0.8170731707317073,2026,0.6033519553072626,0.5307262569832403,0.5391061452513967,0.5865921787709497,0.9385474860335196,0.3854748603351955,0.2905027932960894,,
Ace Bailey,19.0,UTA,SF,72.0,61.0,27.6,5.5,12.4,0.443,1.9,5.5,0.344,3.6,6.9,0.522,0.52,0.9,1.2,0.75,1.4,2.8,4.2,1.8,0.8,0.7,1.5,2.7,13.8,19.0,SF,72.0,61.0,1988.0,11.6,0.533,0.446,0.099,5.5,11.0,8.2,9.7,1.4,2.4,10.3,21.4,-0.4,0.3,-0.1,-0.001,-1.9,-2.5,-4.4,-1.2,22.0,60.0,82.0,0.2682926829268293,0.8780487804878049,2026,0.5921787709497207,0.055865921787709494,0.036312849162011177,0.036312849162011177,0.13128491620111732,0.10335195530726257,0.1787709497206704,,
Brandin Podziemski,22.0,GSW,SG,82.0,43.0,28.5,4.8,10.6,0.455,1.9,5.0,0.371,2.9,5.5,0.531,0.543,2.3,2.9,0.797,0.9,4.2,5.1,3.7,1.1,0.2,1.6,1.7,13.8,22.0,SG,82.0,43.0,2333.0,15.0,0.583,0.476,0.278,3.4,16.9,10.0,19.2,1.8,0.6,11.9,20.1,2.8,2.3,5.1,0.105,0.3,-0.1,0.2,1.3,37.0,45.0,82.0,0.45121951219512196,1.0,2026,0.5921787709497207,0.4972067039106145,0.5391061452513967,0.6033519553072626,0.33519553072625696,0.4888268156424581,0.4441340782122905,,
